outcome,case_type_encoded,year,court,jurisdiction,tags,text
copyright infringement not found,0,1983,United States Court of Appeals for the Second Circuit,2nd Circuit,"film, music",
pending,0,1978,United States District Court for the Southern District of Texas,5th Circuit,"education, news reporting, research, scholarship",
fair use found,0,1983,United States District Court for the Northern District of Georgia,11th Circuit,"commentary, education, film, graphic, news reporting, painting, parody, photograph, research, satire, scholarship, sculpture, unpublished",
copyright infringement found,0,2015,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, education, internet, music, news reporting, research, scholarship, textual, unpublished",
copyright infringement found,0,1993,United States District Court for the Southern District of New York,2nd Circuit,"education, film, graphic, music, news reporting, parody, photograph, research, scholarship, sculpture, textual",
pending,0,2015,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, music, news reporting, painting, photograph, unpublished",
copyright infringement not found,0,2010,United States District Court for the Central District of California,9th Circuit,"commentary, education, film, internet, music, parody, satire",
fair use found,0,1979,United States District Court for the District of New Jersey,3rd Circuit,"drawing, education",
copyright infringement found,0,2006,United States District Court for the District of Nevada,9th Circuit,"education, internet, music, parody, photograph, research",
copyright infringement not found,0,2012,United States District Court for the Northern District of California,9th Circuit,"computer program, internet",
fair use not found,0,1992,United States Court of Appeals for the First Circuit,1st Circuit,"education, photograph, research",
copyright infringement found,0,2017,United States District Court for the Southern District of California,9th Circuit,"commentary, education, music, news reporting, parody, research, scholarship",
pending,0,1973,United States Court of Claims,Federal Circuit,"computer program, drawing, education, film, graphic, painting, photograph, research",
copyright infringement found,0,2004,United States District Court for the Eastern District of Virginia,4th Circuit,"commentary, internet, parody",
copyright infringement found,0,1991,United States District Court for the Southern District of New York,2nd Circuit,graphic,
copyright infringement found,0,2013,United States District Court for the Southern District of New York,2nd Circuit,"commentary, computer program, internet, news reporting, parody, research",
copyright infringement found,0,1998,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, film, graphic, music, news reporting, painting, photograph, research, scholarship, unpublished",
copyright infringement found,0,2009,United States Court of Appeals for the Fifth Circuit,5th Circuit,"graphic, internet",
copyright infringement not found,0,2009,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,"film, music, news reporting, painting, photograph, research, scholarship, textual",
copyright infringement not found,0,1997,United States District Court for the Southern District of New York,2nd Circuit,"drawing, education, film, music, news reporting, photograph, research, scholarship, unpublished",
copyright infringement found,0,1999,United States District Court for the Southern District of California,9th Circuit,"drawing, internet, photograph",
copyright infringement found,0,1989,United States District Court for the Southern District of New York,2nd Circuit,"graphic, news reporting, research, scholarship, unpublished",
copyright infringement found,0,1986,United States District Court for the District of Massachusetts,1st Circuit,"commentary, education, film, graphic, photograph, sculpture",
copyright infringement not found,0,1995,United States District Court for the Eastern District of Virginia,4th Circuit,"education, internet, news reporting, research, scholarship, unpublished",
copyright infringement found,0,2016,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,internet,
pending,0,1979,United States District Court for the Northern District of Georgia,11th Circuit,"commentary, education, film, graphic, music, news reporting, parody, research, satire, scholarship",
copyright infringement not found,0,2006,United States District Court for the Central District of California,9th Circuit,"drawing, film, graphic, internet, music, parody, photograph",
copyright infringement not found,0,1988,United States District Court for the Southern District of New York,2nd Circuit,"commentary, drawing, education, news reporting, research, scholarship, unpublished",
copyright infringement not found,0,2009,United States District Court for the District of Massachusetts,1st Circuit,"commentary, drawing, education, internet, music, news reporting, research, scholarship, sculpture",
copyright infringement found,0,2004,United States District Court for the Northern District of Illinois,7th Circuit,internet,
fair use found,0,2005,United States District Court for the Southern District of New York,2nd Circuit,"computer program, internet",
copyright infringement found,0,2005,United States District Court for the Southern District of New York,2nd Circuit,"education, film, graphic, music, news reporting, parody, photograph, research, scholarship, textual, unpublished",
copyright infringement not found,1,2003,United States Court of Appeals for the Ninth Circuit,9th Circuit,"graphic, music, photograph",
copyright infringement not found,0,1986,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, film, graphic, news reporting, research, scholarship",
copyright infringement not found,0,1985,United States District Court for the Southern District of New York,2nd Circuit,"graphic, research",
copyright infringement not found,0,2013,United States District Court for the District of Maryland,4th Circuit,"drawing, education, graphic, music, photograph, unpublished",
copyright infringement not found,0,1991,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, graphic, news reporting, research, scholarship, textual",
copyright infringement found,0,1995,United States Court of Appeals for the Second Circuit,2nd Circuit,graphic,
copyright infringement not found,0,1992,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, film, graphic, music, painting, parody, photograph, satire, sculpture",
copyright infringement not found,0,2000,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, internet, music",
copyright infringement found,0,1990,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, music, parody, photograph, satire, unpublished",
copyright infringement found,0,1978,United States Court of Appeals for the Ninth Circuit,9th Circuit,"commentary, drawing, graphic, music, parody, research, satire",
copyright infringement found,0,2007,United States District Court for the Central District of California,9th Circuit,"commentary, education, film, graphic, music, painting, parody, photograph, satire",
fair use not found,0,1992,United States District Court for the Northern District of California,9th Circuit,"commentary, computer program, education, film, unpublished",
copyright infringement found,0,1980,United States District Court for the Southern District of New York,2nd Circuit,"audiovisual, education, film, graphic, news reporting, photograph, research",
copyright infringement found,0,1983,United States District Court for the Western District of New York,2nd Circuit,"education, film, music, research",
copyright infringement found,0,2018,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"education, music, research",
copyright infringement not found,0,1955,United States District Court for the Southern District of California,9th Circuit,"film, music, parody, textual",
fair use found,0,2019,United States Court of Appeals for the Ninth,9th Circuit,"audiovisual, film, graphic, internet, music, photograph",
copyright infringement found,0,2014,United States Court of Appeals for the Federal Circuit,Federal Circuit,computer program,
copyright infringement not found,0,2015,United States Court of Appeals for the Seventh Circuit,7th Circuit,research,
copyright infringement found,0,2003,United States District Court for the District of Maryland,4th Circuit,"commentary, education, music, research",
copyright infringement found,0,1986,United States Court of Appeals for the Ninth Circuit,9th Circuit,"commentary, education, film, graphic, music, parody, satire",
copyright infringement not found,0,1981,United States Court of Appeals for the Ninth Circuit,9th Circuit,"audiovisual, education, graphic, music, news reporting, research, scholarship",
pending,0,2016,United States Court of Appeals for the Eighth Circuit,8th Circuit,"film, music",
copyright infringement not found,0,2008,United States District Court for the Middle District of Florida,11th Circuit,"internet, music, photograph, research",
copyright infringement not found,0,2001,United States District Court for the Southern District of New York,2nd Circuit,"drawing, internet, research",
copyright infringement found,0,2012,United States Court of Appeals for the First Circuit,1st Circuit,"education, internet, painting",
copyright infringement not found,0,1990,United States District Court for the Southern District of New York,2nd Circuit,"graphic, music, photograph, research",
copyright infringement found,0,2017,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, graphic, music, news reporting, parody, research, scholarship",
copyright infringement found,0,1981,United States Court of Appeals for the District of Columbia Circuit,District of Columbia Circuit,"education, film",
copyright infringement found,0,2008,United States District Court for the Southern District of New York,2nd Circuit,,
copyright infringement found,0,1994,United States District Court for the Eastern District of Virginia,4th Circuit,"computer program, photograph",
copyright infringement not found,0,2018,Court of Appeals of the District of Columbia,District of Columbia Circuit,"drawing, education, internet, news reporting, research, scholarship",
copyright infringement found,0,2014,United States Court of Appeals for the Ninth Circuit,9th Circuit,"drawing, internet, photograph",
copyright infringement found,0,2008,United States District Court for the Southern District of New York,2nd Circuit,"education, graphic, internet, music, news reporting, parody, photograph, research, scholarship, unpublished",
copyright infringement not found,0,2007,United States District Court for the District of Massachusetts,1st Circuit,"commentary, education, internet, music, news reporting, photograph, research, scholarship, textual, unpublished",
copyright infringement not found,0,2011,United States District Court for the Northern District of California,9th Circuit,"internet, music, research",
pending,0,2008,United States District Court for the Northern District of California,9th Circuit,,
copyright infringement found,0,2009,United States Court of Appeals for the Sixth Circuit,6th Circuit,"graphic, music, photograph",
fair use found,0,2003,United States Court of Appeals for the Ninth Circuit,9th Circuit,"internet, research",
copyright infringement not found,0,1987,United States District Court for the District of Kansas,10th Circuit,"education, graphic, news reporting, research, scholarship",
copyright infringement not found,0,1980,United States District Court for the District of Columbia,District of Columbia Circuit,"research, unpublished",
fair use not found,0,1998,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, education, graphic, music, news reporting, research, scholarship, textual",
fair use not found,0,2013,United States District Court for the Northern District of Georgia,11th Circuit,"education, film, graphic, music, research, textual",
copyright infringement found,0,1992,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, drawing, education, film",
